f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,genre,filename
-113.619384765625,121.55301666259766,-19.15105628967285,42.345767974853516,-6.3711676597595215,18.613033294677734,-13.692060470581055,15.339378356933594,-12.28361701965332,10.973774909973145,-8.322409629821777,8.806787490844727,-3.665802001953125,50.703182220458984,17.196640014648438,15.348609924316406,12.28150463104248,12.962430953979492,9.442964553833008,8.222212791442871,8.310419082641602,9.063801765441895,7.962441444396973,7.861968040466309,7.161843299865723,6.422743320465088,1784.41650390625,360.19415283203125,0.08306638896465302,0.027689967304468155,0.34995052218437195,0.2979130148887634,123.046875,3806.418701171875,949.3838500976562,2002.6571044921875,292.9664611816406,0.13019199669361115,0.053201235830783844,20.526880264282227,8.764369010925293,blues,blues.00000.wav
-207.58151245117188,123.99714660644531,8.939114570617676,35.870758056640625,2.9199705123901367,21.518787384033203,-8.555368423461914,23.355937957763672,-10.10103702545166,11.90644359588623,-5.558122634887695,5.375942230224609,-2.237833023071289,88.15198516845703,23.667762756347656,23.931154251098633,16.274375915527344,16.734619140625,12.508814811706543,14.176376342773438,11.931994438171387,12.893104553222656,10.215604782104492,10.25786018371582,9.813216209411621,8.056106567382812,1529.871337890625,613.1978759765625,0.056044258177280426,0.038059208542108536,0.3409450948238373,0.308168888092041,67.99958801269531,3548.98681640625,1725.33837890625,2038.6121826171875,462.4822998046875,0.09589168429374695,0.048724040389060974,20.672264099121094,8.24024772644043,blues,blues.00001.wav
-90.7763442993164,140.4486083984375,-29.10055923461914,31.687339782714844,-13.975973129272461,25.741682052612305,-13.644712448120117,11.623111724853516,-11.775920867919922,9.70046615600586,-13.115348815917969,5.785763263702393,-8.89973258972168,57.61764907836914,22.563512802124023,20.297462463378906,12.00615119934082,12.490620613098145,8.629561424255371,10.328758239746094,10.326069831848145,8.104654312133789,8.236836433410645,7.592525005340576,8.037508964538574,7.776660442352295,1552.6378173828125,395.6492004394531,0.07630074769258499,0.03173781931400299,0.36356186866760254,0.2920226752758026,161.4990234375,3041.08984375,884.8426513671875,1747.382080078125,275.9541320800781,0.17549368739128113,0.05246517434716225,22.19179344177246,8.727502822875977,blues,blues.00002.wav
-199.46200561523438,150.09474182128906,5.649167060852051,26.87014389038086,1.755440592765808,14.2368803024292,-4.8288726806640625,9.29784870147705,-0.7531418800354004,8.147393226623535,-3.1952357292175293,6.085353851318359,-2.4761881828308105,74.13482666015625,21.367420196533203,16.032691955566406,12.577670097351074,16.36771583557129,11.264205932617188,12.492485046386719,9.00948715209961,9.61051082611084,8.439374923706055,10.50359058380127,6.941435813903809,7.537466049194336,1070.110107421875,429.5423889160156,0.03330894559621811,0.02056877128779888,0.4048483371734619,0.3066234886646271,63.024009704589844,2185.061767578125,1222.372314453125,1596.2442626953125,408.212646484375,0.1411392092704773,0.07962321490049362,21.428386688232422,7.962194919586182,blues,blues.00003.wav
-160.29185485839844,126.19576263427734,-35.602500915527344,22.151168823242188,-32.487640380859375,10.862022399902344,-23.357162475585938,0.5005233287811279,-11.804770469665527,1.2038776874542236,-13.085074424743652,-2.8098487854003906,-6.9356207847595215,72.09815979003906,29.218793869018555,18.267778396606445,13.916655540466309,18.34260368347168,11.610199928283691,9.659235000610352,11.169668197631836,11.401259422302246,9.989755630493164,8.961198806762695,9.300108909606934,9.466440200805664,1835.5069580078125,585.9473266601562,0.10150013864040375,0.04419851675629616,0.3085981607437134,0.2963957190513611,135.99917602539062,3581.00341796875,1253.84716796875,1748.367431640625,297.42236328125,0.09154040366411209,0.048010990023612976,21.463016510009766,7.940710544586182,blues,blues.00004.wav
-177.88876342773438,118.18952941894531,-17.550729751586914,30.753101348876953,-21.732107162475586,11.898545265197754,-20.732280731201172,3.176168918609619,-8.575770378112793,-0.9401844143867493,-11.773798942565918,-2.4260759353637695,-9.342486381530762,85.46055603027344,56.54740905761719,25.576311111450195,22.045116424560547,20.820207595825195,16.312280654907227,13.032559394836426,11.562215805053711,13.127508163452148,10.00648021697998,8.751916885375977,8.86025333404541,8.951683044433594,1831.9901123046875,1015.5272827148438,0.09403987228870392,0.07897575199604034,0.30241402983665466,0.29590877890586853,69.83741760253906,3480.85400390625,1810.097412109375,1729.456298828125,449.4438781738281,0.10343772172927856,0.06311682611703873,22.544687271118164,8.178349494934082,blues,blues.00005.wav
-190.17501831054688,130.29241943359375,-36.348472595214844,33.029090881347656,11.085680961608887,-0.5963724851608276,-20.882356643676758,0.2771161198616028,-6.500870704650879,-5.515623092651367,-7.8452887535095215,-3.123599052429199,-6.5957159996032715,98.21621704101562,43.98217010498047,36.16135787963867,21.91622543334961,32.917903900146484,16.73988151550293,12.316180229187012,10.14377498626709,11.451950073242188,12.38908576965332,9.358327865600586,8.014026641845703,8.897414207458496,1459.035400390625,661.9048461914062,0.07302790135145187,0.043698910623788834,0.29140564799308777,0.30659860372543335,71.77734375,2795.6748046875,1273.848876953125,1388.7254638671875,430.2696838378906,0.14168789982795715,0.09371677786111832,23.425853729248047,7.040285110473633,blues,blues.00006.wav
-179.42007446289062,136.4420928955078,-26.644338607788086,39.979591369628906,5.301814556121826,10.921236991882324,-20.555347442626953,8.507476806640625,-11.35435962677002,-3.4690983295440674,-8.414113998413086,-6.956976890563965,-3.5483481884002686,81.08917236328125,38.47041320800781,24.31002426147461,18.79252815246582,25.50387191772461,11.677462577819824,12.794587135314941,12.30766773223877,13.115826606750488,13.357223510742188,12.151824951171875,9.153006553649902,9.660816192626953,1451.8494873046875,670.77392578125,0.06143500283360481,0.04301174357533455,0.30731454491615295,0.30471158027648926,92.28515625,2955.765380859375,1276.9356689453125,1577.5518798828125,410.1929626464844,0.13174523413181305,0.0743989422917366,22.44033432006836,7.242144584655762,blues,blues.00007.wav
-121.38711547851562,122.5053939819336,-14.739394187927246,46.135292053222656,-8.160384178161621,20.170509338378906,-19.169321060180664,23.050188064575195,-11.825939178466797,21.173410415649414,-6.720290660858154,7.005018711090088,-12.739909172058105,51.201961517333984,20.364900588989258,18.476787567138672,13.921792984008789,13.293728828430176,10.343644142150879,7.594192028045654,8.770051956176758,6.517716407775879,7.644031047821045,6.997152328491211,7.499757289886475,7.867430210113525,1719.27392578125,404.2148742675781,0.0640275776386261,0.02705344744026661,0.40899816155433655,0.2941422462463379,83.35433197021484,3781.518798828125,1123.8306884765625,2031.6873779296875,324.9818420410156,0.1423606276512146,0.03876723721623421,22.373432159423828,9.451292037963867,blues,blues.00008.wav
-213.20452880859375,115.154541015625,-11.720502853393555,39.032554626464844,-20.357818603515625,13.089925765991211,-9.180814743041992,9.023638725280762,-14.101024627685547,4.283337116241455,-6.044196128845215,3.786367893218994,0.22368738055229187,78.3143081665039,28.262224197387695,25.86415672302246,18.730318069458008,23.0716552734375,16.684894561767578,11.249238014221191,8.243319511413574,10.496000289916992,9.617186546325684,9.212237358093262,10.222246170043945,8.740899085998535,1817.529541015625,546.128662109375,0.07921531796455383,0.03710199147462845,0.2740142345428467,0.3038528561592102,80.74951171875,3944.58447265625,1169.2471923828125,1973.6903076171875,337.9483642578125,0.08132097870111465,0.065934918820858,21.15817642211914,7.9579596519470215,blues,blues.00009.wav
